NomeProduto,Unidade,PrecoVista,PrecoRevista,PrecoAdquirido,CodigoBarra
SOPHIE COL HELLO 100ml,4,74.15,96.72,64.48,7891033706686
SOPHIE COL LIKE 100ml,1,87.89,114.65,76.43,7891033706693
SOPHIE LOC HID CPO 200ml,1,87.89,114.65,76.43,7891033706938
DR BOTICA COL POCAO/CORAG 120ml V2,6,67.18,87.63,58.42,7891033515219
SOPHIE COL CANDY 100ml V2,3,85.94,112.09,74.73,7891033515004
ESTJ DR BOTICA POCAO DA AVENTURA V2,1,87.88,114.63,76.42,7891033531592
DR BOTICA COL POC/CORAC V2 120ml,10,67.18,87.63,58.42,7891033539215
SOPHIE CREM PENT CACHOS V2 200ML,1,38.04,49.62,33.08,7891033591701
